Country,Total Cases,New Cases,Deaths,New Deaths,Recovered,Active,Serious/Critical
Cameroon,"47,669",,721,,"35,261","11,687",53
Cyprus,"44,305",,250,,"2,057","41,998",51
Namibia,"43,499",,508,,"41,292","1,699",37
Ivory Coast,"42,861",,232,,"38,590","4,039",
Uganda,"40,767",,335,,"40,379",53,
Senegal,"38,520",64,"1,037",3,"36,753",730,33
Botswana,"38,466",,506,,"33,903","4,057",1
Jamaica,"38,227",480,570,4,"17,197","20,460",44
Zimbabwe,"36,818",,"1,519",,"34,575",724,13
Malawi,"33,458",,"1,113",,"29,585","2,760",33
Sudan,"29,661",,"2,028",,"23,990","3,643",
Australia,"29,255",6,909,,"26,269","2,077",
Malta,"28,875",67,387,2,"27,086","1,402",
Thailand,"28,734",77,94,1,"27,239","1,401",1
DRC,"27,930",43,739,5,"25,398","1,793",
Madagascar,"23,585",161,387,6,"21,636","1,562",26
Maldives,"23,403",,66,,"20,618","2,719",103
Angola,"22,031",,533,,"20,269","1,229",15
Rwanda,"21,370",,301,,"19,741","1,328",7
Guinea,"19,670",169,120,4,"16,425","3,125",24
Mayotte,"19,306",,154,,"2,964","16,188",16
Gabon,"18,777",,111,,"16,074","2,592",27
French Polynesia,"18,607",,141,,"4,842","13,624",2
Syria,"18,356",,"1,227",,"12,257","4,872",
Mauritania,"17,756",,448,,"16,989",319,14
Eswatini,"17,318",,666,,"16,389",263,6
Cabo Verde,"17,018",,165,,"16,050",803,23
French Guiana,"16,922",,89,,"9,995","6,838",6
Réunion,"15,561",,102,,"14,064","1,395",57
Tajikistan,"13,308",,90,,"13,218",0,
Haiti,"12,736",,251,,"10,754","1,731",
Burkina Faso,"12,673",,145,,"12,330",198,
Belize,"12,415",,317,,"12,061",37,1
Andorra,"11,850",41,115,,"11,204",531,12
Hong Kong,"11,447",1,205,,"11,040",202,10
Guadeloupe,"11,298",,165,,"2,242","8,891",8
Somalia,"10,838",,488,,"4,678","5,672",
Lesotho,"10,686",,315,,"4,438","5,933",
South Sudan,"10,098",19,108,,"9,454",536,1
Guyana,"10,072",,225,,"8,842","1,005",13
